"juri_nombre","departamento_nombre","sexo_nombre","juri_codigo","departamento_codigo","sexo_codigo","ano","poblacion"
"Buenos Aires","Almirante Brown","Ambos sexos","06","028","0","2010",557025
"Buenos Aires","Almirante Brown","Ambos sexos","06","028","0","2011",561349
"Buenos Aires","Almirante Brown","Ambos sexos","06","028","0","2012",565509
"Buenos Aires","Almirante Brown","Ambos sexos","06","028","0","2013",569911
"Buenos Aires","Almirante Brown","Ambos sexos","06","028","0","2014",574263
"Buenos Aires","Almirante Brown","Ambos sexos","06","028","0","2015",578513
"Buenos Aires","Almirante Brown","Ambos sexos","06","028","0","2016",582541
"Buenos Aires","Almirante Brown","Ambos sexos","06","028","0","2017",586564
"Buenos Aires","Almirante Brown","Ambos sexos","06","028","0","2018",590418
"Buenos Aires","Almirante Brown","Ambos sexos","06","028","0","2019",594270
"Buenos Aires","Almirante Brown","Ambos sexos","06","028","0","2020",597969
"Buenos Aires","Almirante Brown","Ambos sexos","06","028","0","2021",601618
"Buenos Aires","Almirante Brown","Ambos sexos","06","028","0","2022",605271
"Buenos Aires","Almirante Brown","Ambos sexos","06","028","0","2023",608878
"Buenos Aires","Almirante Brown","Ambos sexos","06","028","0","2024",612438
"Buenos Aires","Almirante Brown","Ambos sexos","06","028","0","2025",616000
"Buenos Aires","Avellaneda","Ambos sexos","06","035","0","2010",345752
"Buenos Aires","Avellaneda","Ambos sexos","06","035","0","2011",346847
"Buenos Aires","Avellaneda","Ambos sexos","06","035","0","2012",347924
"Buenos Aires","Avellaneda","Ambos sexos","06","035","0","2013",348999
"Buenos Aires","Avellaneda","Ambos sexos","06","035","0","2014",350080
"Buenos Aires","Avellaneda","Ambos sexos","06","035","0","2015",351165
"Buenos Aires","Avellaneda","Ambos sexos","06","035","0","2016",352246
"Buenos Aires","Avellaneda","Ambos sexos","06","035","0","2017",353273
"Buenos Aires","Avellaneda","Ambos sexos","06","035","0","2018",354314
"Buenos Aires","Avellaneda","Ambos sexos","06","035","0","2019",355352
"Buenos Aires","Avellaneda","Ambos sexos","06","035","0","2020",356392
"Buenos Aires","Avellaneda","Ambos sexos","06","035","0","2021",357440
"Buenos Aires","Avellaneda","Ambos sexos","06","035","0","2022",358512
